EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,Time,time_location,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
492737,WESTERN WHATCOM COUNTY (ZONE), ,1/3/14,700,7:00,2014-01-03  7:00:00 | Washington,Coastal Flood, , ,0,0,1000,0,Washington,PST-8, ,81984,Z,503,SEW,0,0,Emergency Manager, , , , , , , , , , , , ,"Near Birch bay, minor coastal flooding damaged some outdoor furniture.","Near Birch bay, minor coastal flooding damaged some outdoor furniture.",1
494011,WEST SLOPES NORTHERN CASCADES AND PASSES (ZONE), ,1/8/14,1100,11:00,2014-01-08  11:00:00 | Washington,Heavy Snow, , ,0,0,0,0,Washington,PST-8, ,82123,Z,518,SEW,0,0,Park/Forest Service, , , , , , , , , , , , ,"USFS NWAC station at Mt Baker measured 12 inches snow in 12 hours ending 9 pm Jan 8, and 18 inches in 24 hours ending 11 am Jan 9.","A frontal system moved through western Washington, bringing heavy snow to Mt Baker and Paradise at Mt Rainier.",2
494012,WEST SLOPES CENTRAL CASCADES AND PASSES (ZONE), ,1/8/14,1100,11:00,2014-01-08  11:00:00 | Washington,Heavy Snow, , ,0,0,0,0,Washington,PST-8, ,82123,Z,519,SEW,0,0,Park/Forest Service, , , , , , , , , , , , ,USFS NWAC station at Paradise measured 13 inches snow in 12 hours ending 11 pm Jan 8.,"A frontal system moved through western Washington, bringing heavy snow to Mt Baker and Paradise at Mt Rainier.",3
489461,NORTHEAST MOUNTAINS (ZONE), ,1/8/14,1400,14:00,2014-01-08  14:00:00 | Washington,Heavy Snow, , ,0,0,0,0,Washington,PST-8, ,81556,Z,37,OTX,0,0,Public, , , , , , , , , , , , ,Storm total snowfall totals of nine and ten inches at 49 Degrees North Ski Resort and Mt. Spokane Ski Resort respectively.,"A moist Pacific storm system pushing into the region off of the Pacific brought heavy snow across the mountains of northeast Washington.  Strong low level warm air advection limited heavy snowfall above 4,000 feet in elevation.",4
492754,SNOHOMISH CO.,INDEX,1/9/14,600,6:00,2014-01-09  6:00:00 | Washington,Debris Flow, , ,0,0,2000,0,Washington,PST-8, ,81985,C,61,SEW,0,0,Newspaper,Heavy Rain, , ,2,SW,2,WSW,INDEX,47.7995,-121.5805,47.8089,-121.5898,Scores of residents near Index remained without power and stranded by a massive landslide that blocks the access road to their homes and prevents emergency crews from reaching the area in Snohomish County.,"Strong wind knocked out power to nearly 90,000 customers in western Washington.  A landslide blocked a road near Index, cutting off access to about 90 homeowners.",5
498206,EASTERN COLUMBIA RIVER GORGE (ZONE), ,1/10/14,230,2:30,2014-01-10  2:00:00 | Washington,High Wind,61, ,0,0,0,0,Washington,PST-8,MG,80673,Z,24,PDT,0,0,Mesonet, , , , , , , , , , , , ,,High winds ripped through the Columbia River Gorge overnight (early morning) on January 10th. Wind gust reported by a Mesonet of 70 MPH was measured.  Also wind gusts of at least 55 mph or greater were measured for 3 consecutive hours.,6
483001,SIMCOE HIGHLANDS (ZONE), ,1/10/14,256,2:56,2014-01-10  2:00:00 | Washington,High Wind,59, ,0,0,0,0,Washington,PST-8,MG,80674,Z,521,PDT,0,0,Mesonet, , , , , , , , , , , , ,Goldendale East Raws and Highbridge Raws.,"High winds due to mountain waves produced very strong wind gusts across the Simcoe Highlands and portions of the western and southern Yakima Valley.  Wind gusts in MPH include: (68) south southwest of Tampico, (68) west northwest of Bickleton, (63) east northeast of Goldendale, and (60) North of Maryhill.  Damage from wind was reported in the Trout Lake area as well.",7
483052,EAST SLOPES OF THE WASHINGTON CASCADES (ZONE), ,1/10/14,530,5:30,2014-01-10  5:00:00 | Washington,High Wind,59, ,0,0,0,0,Washington,PST-8,MG,80674,Z,520,PDT,0,0,Trained Spotter, , , , , , , , , , , , ,,"High winds due to mountain waves produced very strong wind gusts across the Simcoe Highlands and portions of the western and southern Yakima Valley.  Wind gusts in MPH include: (68) south southwest of Tampico, (68) west northwest of Bickleton, (63) east northeast of Goldendale, and (60) North of Maryhill.  Damage from wind was reported in the Trout Lake area as well.",8
489582,EAST SLOPES NORTHERN CASCADES (ZONE), ,1/10/14,1900,19:00,2014-01-10  19:00:00 | Washington,Heavy Snow, , ,0,0,0,0,Washington,PST-8, ,81564,Z,42,OTX,0,0,COOP Observer, , , , , , , , , , , , ,"Heavy snowfall above 3,000 feet in elevation with over a foot reported in the mountains, mainly near the Cascade crest.","A deep fetch of Pacific moisture brought heavy snow to the mountains and moderate to heavy rain to the valleys across the area overnight on January 10th into the 11th.  Localized flooding was observed in the northeast mountains of Washington due to a combination of rainfall, snow melt and frozen soils.  Rainfall amounts were generally up into the half inch to one inch range for this period, which typically would not cause flooding if not in combination with low elevation snow melt and frozen soils preventing water from seeping into the ground.  Flooding impacts were minor and limited to low spots in the terrain, in urban areas and along small streams.  Rain and heavy snow was followed by a strong cold front passage during the early morning hours of January 11th with strong and damaging winds observed across the much of the area.",9
485188,ADMIRALTY INLET AREA (ZONE), ,1/10/14,1914,19:14,2014-01-10  19:00:00 | Washington,High Wind,36, ,0,0,0,0,Washington,PST-8,MS,81020,Z,510,SEW,0,0,ASOS, , , , , , , , , , , , ,"Numerous reports of sustained wind or gusts in the high wind category were reported, from the KNUW ASOS, from a mesonet location in Port Townsend, and from the Keystone ferry dock.",Prefrontal southeast high winds occurred on the coast and over the north interior. This was the first of three separate high wind episodes.,10
