,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected,state,Hour Event Began,time_location
0,January,2014-01-06,19:50:00,01/06/2014,20:44:00,District of Columbia,RFC,Missing,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown,District of Columbia,19,2014-01-06 19:00:00 | District of Columbia
1,January,2014-01-06,19:50:00,01/06/2014,20:44:00,Unknown,RFC,Missing,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown,Unknown,19,2014-01-06 19:00:00 | Unknown
2,January,2014-01-06,19:52:00,01/06/2014,20:45:00,Delaware,RFC,Missing,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown,Delaware,19,2014-01-06 19:00:00 | Delaware
3,January,2014-01-06,20:45:00,01/07/2014,21:00:00,Unknown,RFC,Missing,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,Unknown,20,2014-01-06 20:00:00 | Unknown
4,January,2014-01-06,19:50:00,01/06/2014,20:49:00,Pennsylvania,RFC,Missing,Voltage Reduction due to Severe Weather - Cold,200,62000,Pennsylvania,19,2014-01-06 19:00:00 | Pennsylvania
5,January,2014-01-06,19:50:00,01/06/2014,20:44:00,Pennsylvania,RFC,Missing,Voltage Reduction due to Severe Weather - Cold,Unknown,Unknown,Pennsylvania,19,2014-01-06 19:00:00 | Pennsylvania
6,January,2014-01-06,14:37:00,01/06/2014,14:38:00,Utah,RFC,Missing,Vandalism,Unknown,Unknown,Utah,14,2014-01-06 14:00:00 | Utah
7,January,2014-01-06,22:00:00,01/06/2014,22:01:00,Kentucky,RFC,Missing,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,Kentucky,22,2014-01-06 22:00:00 | Kentucky
8,January,2014-01-06,7:01:00,01/07/2014,9:00:00,Texas,TRE,Missing,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,Texas,7,2014-01-06 7:00:00 | Texas
9,January,2014-01-07,21:00:00,01/08/2014,9:00:00,Unknown,RFC,Missing,Public Appeal due to Severe Weather - Cold,Unknown,Unknown,Unknown,21,2014-01-07 21:00:00 | Unknown
10,January,2014-01-07,6:18:00,01/07/2014,6:19:00,Pennsylvania,RFC,Missing,Severe Weather - Cold,Unknown,Unknown,Pennsylvania,6,2014-01-07 6:00:00 | Pennsylvania
